timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1541874450804261,3,-2,2,-27,-4,-1,-2,4
1541874450804261,-5,1,2,1,0,-1,0,-23
1541874450805266,2,-2,-3,-2,-3,-3,-1,10
1541874450805266,3,0,1,10,0,1,1,-3
1541874450827279,-3,-1,-1,2,-1,-1,-4,-10
1541874450827279,4,0,-1,-18,-3,0,1,3
1541874450828262,-1,1,1,2,-2,-2,-1,10
1541874450828262,3,3,3,7,-1,-4,0,-12
1541874450841290,4,4,3,-5,-4,-5,-5,-2
1541874450841290,4,0,-3,-1,-2,-5,-4,-7
1541874450849296,2,3,0,0,-2,-2,-2,-10
1541874450849296,3,1,-1,2,0,-2,-1,-3
1541874450864291,2,-2,-1,-3,1,0,-1,3
1541874450864291,0,-1,-1,4,1,1,1,-2
1541874450865310,-2,-2,-2,1,0,1,1,-8
1541874450865310,-1,-2,-1,-11,-2,0,-1,12
1541874450887358,0,-1,-1,4,-1,1,1,-4
1541874450887358,-4,-3,-3,0,-1,0,-2,-3
1541874450888319,-3,-2,-1,-6,3,1,-1,6
1541874450888319,-4,-5,-4,1,2,1,0,2
1541874450901374,-7,-1,-3,3,1,2,0,-9
1541874450901374,-4,-2,-2,2,0,-1,-1,-1
1541874450909345,0,-4,-1,-1,-1,1,4,9
1541874450909345,5,-2,-1,2,0,1,1,24
1541874450932355,-8,-4,-1,3,2,-2,-5,-38
1541874450932355,-1,1,0,-6,0,0,-1,-1
1541874450933345,-6,-2,0,-2,-1,-3,-5,-8
1541874450933345,-3,-1,0,2,0,-2,-2,-6
1541874450947374,6,0,-3,-4,-6,-3,4,28
1541874450947374,-5,-2,-4,-1,-1,-2,-3,0
1541874450948375,-6,-5,-4,-2,-5,-7,-11,-14
1541874450948375,2,5,2,3,-1,3,1,4
1541874450961419,-5,-1,1,1,2,1,3,1
1541874450961419,10,10,7,5,5,8,13,8
1541874450969392,-6,-2,-2,-3,-1,-3,-3,-10
1541874450969392,3,-1,0,-3,1,2,5,10
1541874450984439,-4,-2,-2,-1,-2,-2,-7,7
1541874450984439,2,-5,-1,0,-1,0,1,-5
1541874450985401,0,1,0,-3,-1,1,-2,-9
1541874450985401,4,2,1,1,1,0,6,15
1541874451007412,0,-1,-1,0,0,-1,-2,3
1541874451007412,-5,-3,-3,-1,-3,-2,-4,9
1541874451008422,4,2,2,2,2,4,9,13
1541874451008422,-8,-4,-3,-1,-4,-1,-4,-13
1541874451030479,3,1,-2,-2,0,-2,-2,5
1541874451030479,-3,-2,-4,-4,-2,-4,-7,-17
1541874451030479,3,1,1,2,0,2,2,3
1541874451030479,-4,-2,-2,-1,-1,-3,-5,-14
1541874451044450,-4,-2,-1,0,1,-1,0,5
1541874451044450,2,3,0,1,2,2,4,-1
1541874451045452,-2,-1,0,-1,-2,0,0,1
1541874451045452,1,-1,-1,-1,-1,-1,0,4
1541874451067469,-1,0,-1,-3,-2,0,-4,-9
1541874451067469,-5,-5,-4,-2,-2,-3,-4,0
1541874451068469,-1,-3,-1,-1,1,0,1,4
1541874451068469,-2,0,-1,1,1,1,0,-6
1541874451090521,-1,-2,-2,0,-3,1,1,-6
1541874451090521,1,0,-1,-1,0,-2,-2,2
1541874451090521,-2,-3,-2,-1,1,0,-1,-4
1541874451090521,-5,-3,-1,-2,0,0,-1,-10
1541874451112498,-2,-2,0,0,0,-1,2,2
1541874451112498,0,-2,-2,-3,-4,-1,-3,0
1541874451113499,2,0,0,-2,-2,1,2,7
1541874451113499,1,1,0,-2,-2,-1,-1,-2
1541874451135503,0,-2,-3,-1,-4,0,1,4
1541874451135503,0,-2,0,-1,-2,-3,-4,-6
1541874451135503,-1,0,0,0,0,-1,-1,0
1541874451135503,-2,-1,-3,-1,-1,0,-3,-5
1541874451157520,2,1,-1,0,-1,-1,2,1
1541874451157520,-1,0,-1,0,-1,0,-1,-2
1541874451158521,0,0,-1,-1,-1,-1,-3,-3
1541874451158521,1,0,1,-2,-2,-2,-1,-2
1541874451164525,1,-2,-1,-1,0,-2,-1,2
1541874451164525,-1,0,3,0,1,0,1,-1
1541874451165527,-2,1,-1,1,-1,0,-3,-7
1541874451165527,-2,0,-1,-1,-2,0,0,-3
1541874451188544,-3,-2,0,-2,-2,-1,-2,-5
1541874451188544,1,-1,0,0,-2,0,1,3
1541874451189545,0,-2,-2,-3,-1,-4,-4,0
1541874451189545,0,-2,-2,0,0,-1,-1,-4
1541874451234596,-1,-1,0,-2,-2,0,1,-1
1541874451234596,-2,-1,-1,0,-1,-2,2,3
1541874451235591,-1,-1,-2,-3,-3,-2,0,0
1541874451235591,-4,-3,-2,-3,-1,0,-2,-3
1541874451236601,0,-2,-1,0,0,-2,1,3
1541874451236601,-5,-5,-3,-2,-2,-2,-4,-2
1541874451249592,-1,-2,-1,-1,-1,0,-2,6
1541874451249592,-2,-3,0,1,0,0,-2,1
1541874451250612,-1,-1,1,0,-1,0,-5,-11
1541874451250612,-1,-1,0,-3,-1,0,-3,3
1541874451270663,-2,0,-2,-1,0,-3,-3,-3
1541874451270663,2,3,1,1,0,-2,-2,0
1541874451271624,-1,-3,-3,-2,-1,-1,-3,1
1541874451271624,1,0,0,1,1,2,2,1
1541874451273632,0,-4,-5,-3,-2,-2,-2,-2
1541874451273632,3,1,1,-1,0,1,2,6
1541874451283634,-2,2,2,2,2,0,-1,-11
1541874451283634,-5,-5,-5,-3,-1,-3,-4,-3
1541874451292626,0,0,0,1,0,1,2,3
1541874451292626,-2,1,-1,-2,0,0,0,-3
1541874451314698,1,1,0,0,0,1,2,5
1541874451314698,1,0,0,0,0,0,0,1
1541874451316645,1,1,0,-1,-1,-2,1,-1
1541874451316645,2,-1,1,-2,-4,-3,-2,-6
1541874451337681,2,-1,1,-2,-3,-4,-4,-2
1541874451337681,4,2,1,0,-2,-2,-1,-4
1541874451339673,3,0,1,0,-1,-1,-2,-5
1541874451339673,-1,-2,-1,-1,0,-1,-3,-4
1541874451376748,2,2,-1,0,-2,0,-1,2
1541874451376748,-2,-1,-1,-1,1,1,1,1
1541874451377705,-3,-2,-2,0,-1,0,-3,-2
1541874451377705,-2,-2,-2,-1,-2,0,0,0
1541874451378709,-1,-1,1,-1,-2,-1,-1,2
1541874451378709,0,0,-1,-1,-3,-1,-2,-1
1541874451392709,0,2,1,-1,-2,-3,-1,0
1541874451392709,0,0,-2,0,-2,-1,0,-2
1541874451392709,1,-1,-2,0,0,1,1,1
1541874451392709,1,-1,0,0,-5,0,-1,-2
1541874451421783,1,0,0,0,-2,-3,-4,2
1541874451421783,2,0,0,1,-1,-3,-2,-4
1541874451422745,-2,-2,-1,-6,-2,-2,-1,-3
1541874451422745,2,1,-1,-2,0,1,0,0
1541874451423745,-1,-2,-1,-3,-1,-1,-2,-2
1541874451423745,-6,-1,-1,1,0,2,1,-9
1541874451442745,-2,0,2,6,3,4,5,3
1541874451442745,-3,-5,-5,-5,-5,-5,-6,4
1541874451443768,-6,-2,-2,-4,0,0,-3,-3
1541874451443768,-23,-14,-10,-5,-5,-10,-17,-27
1541874451465781,17,9,4,4,7,9,16,26
1541874451465781,-9,-5,-3,4,1,1,-2,-12
1541874451467783,-9,-12,-9,-11,-12,-10,-8,-12
1541874451467783,4,5,1,5,4,4,7,13
1541874451467783,-39,-27,-15,-14,-10,-16,-24,69
1541874451467783,30,16,8,5,6,10,30,-6
1541874451489796,-4,-9,-10,-6,-6,-9,-13,80
1541874451489796,-12,-1,3,0,0,4,9,-14
1541874451490818,27,20,8,10,6,5,4,-13
1541874451490818,-13,-4,0,0,1,0,0,3
1541874451500808,-5,-2,-2,-3,-4,-3,-2,-10
1541874451500808,11,18,6,7,5,7,10,-18
1541874451516857,2,-2,-1,-3,0,-3,-8,-8
1541874451516857,-16,-14,-7,-7,-7,-8,-15,1
1541874451525809,5,7,6,5,7,11,14,-45
1541874451525809,2,-2,1,-5,0,-1,-1,25
1541874451526825,-3,5,0,-1,-1,1,1,-39
1541874451526825,3,4,3,2,0,-1,1,15
1541874451532825,2,1,2,3,1,2,7,17
1541874451532825,2,-6,-5,-5,-4,-5,-10,2
1541874451554851,-5,-7,-3,-4,-5,-4,0,7
1541874451554851,-2,-1,-1,0,0,-3,-6,-4
1541874451556852,0,3,0,2,1,1,0,-6
1541874451556852,-1,-1,-1,-3,-2,-1,-2,34
1541874451577905,1,1,1,3,1,-1,-6,-28
1541874451577905,1,-1,0,-2,-1,-1,-4,14
1541874451578882,-2,1,2,1,2,4,3,-26
1541874451578882,7,0,-3,-1,-1,-1,-4,6
1541874451599886,-1,-2,-1,0,0,-1,4,12
1541874451599886,0,0,0,-2,-1,0,-2,0
1541874451601869,0,0,1,-1,-2,-1,0,17
1541874451601869,-2,-5,-3,-2,-3,-4,-7,-14
1541874451638913,4,3,1,1,-1,2,8,7
1541874451638913,0,-3,-2,-2,-2,-1,-5,-12
1541874451640914,-1,-9,-2,-1,-1,-1,-1,-3
1541874451640914,2,9,1,-2,-2,-2,1,2
1541874451640914,-4,-3,-2,-2,0,0,0,-18
1541874451640914,0,2,2,1,0,1,3,12
1541874451690950,1,-2,0,-1,-1,-1,-3,-1
1541874451690950,3,-2,1,-3,-4,-2,0,1
1541874451691940,-4,-4,-5,-3,-3,-1,-4,6
1541874451691940,-2,-2,-1,-1,0,-2,-4,-6
