timestamp,x,y,z
1541872980077028,-17.875,-41.5,20.9375
1541872980092039,-18.75,-40.625,20.4375
1541872980114040,-9.125,-36.875,16.875
1541872980135075,3.5625,-26.5,12.125
1541872980152089,15.5,-14.8125,9.375
1541872980188120,16.1875,-8.0625,6.5625
1541872980196120,6.5,-3.6875,2.5
1541872980212138,-6.375,2.4375,-3.5625
1541872980250173,-13.0625,8.9375,-9.0625
1541872980263208,-18.8125,13.125,-12.125
1541872980279174,-23.5625,12.75,-12.5
1541872980300211,-24.125,10.625,-12.0625
1541872980340279,-19.9375,8.625,-9.125
1541872980342246,-11.625,6.875,-3.25
1541872980356254,-0.25,6.0625,3.8125
1541872980375308,5.1875,5.4375,10.9375
1541872980392279,9.0625,5.75,17.75
1541872980414305,10.75,7.125,21.3125
1541872980452336,10.9375,11.125,22.0625
1541872980454333,8.3125,14.8125,20.5
1541872980474354,4.1875,15.9375,18
1541872980496409,4.75,14.625,14.3125
1541872980526411,3.4375,12.3125,9.875
1541872980550427,-2.5,9.0625,6.1875
1541872980555421,-6.75,5.3125,2.875
1541872980577439,-7.625,2.6875,0
1541872980624478,-10.125,0.9375,-2.625
1541872980627481,-1.9375,-0.875,-8.5
1541872980633481,-4.5625,-5.375,-7.75
1541872980654521,-5.1875,-11.75,-4.625
1541872980676507,-6.0625,-20.25,0.0625
1541872980699539,2.875,-26.875,3.875
1541872980728563,4.875,-33.1875,5.5
1541872980753566,3.3125,-38.0625,6.625
1541872980759586,4.5,-35.625,6.25
1541872980774637,5.75,-29.5625,3.5625
1541872980804629,3.1875,-27.375,2.75
1541872980826625,1.6875,-29.625,3.25
1541872980834654,4.6875,-31,3
1541872980856661,5.5,-31.4375,3.125
1541872980879729,3.25,-33.0625,3.9375
1541872980901687,3.6875,-34.6875,4.25
1541872980939738,5,-36.375,4.8125
1541872980942721,6.6875,-34.5,3.8125
1541872980955732,14.25,-33.1875,0.125
1541872980976759,9.6875,-29.75,-2.1875
1541872981005789,6.0625,-26.875,-0.4375
1541872981014797,7.4375,-26.9375,2.8125
1541872981036800,11.5625,-28.8125,3.75
1541872981057835,12.6875,-29.625,3.1875
1541872981081835,11.8125,-29.8125,2
1541872981103854,13.3125,-29.5625,0.6875
1541872981117920,12,-28.375,0.0625
1541872981135888,11.75,-28.3125,0.4375
1541872981156899,12.75,-29.25,0.0625
1541872981177934,12.375,-29.0625,-1.1875
1541872981193947,15.0625,-25.6875,-2.875
1541872981216967,14.1875,-21.6875,-4.75
1541872981238020,11.0625,-20.3125,-6.375
1541872981253988,13.9375,-20.375,-7.5
1541872981277032,15.4375,-20.75,-8.75
1541872981298028,15,-22.3125,-9.875
1541872981314043,14.9375,-23.8125,-11.3125
1541872981320051,13.6875,-25.5625,-10.875
1541872981342069,16.25,-27.5625,-8.875
1541872981368126,17,-30.8125,-7.5625
1541872981396114,19.375,-34.4375,-7.75
1541872981402102,17.875,-37,-9.6875
1541872981442188,16.875,-40,-9.125
1541872981444136,16.3125,-43.5625,-6.25
1541872981464150,6.4375,-50.625,-2.625
1541872981488171,1.75,-57.9375,-1.9375
1541872981500196,5.5625,-64.6875,-1.9375
1541872981530221,1.3125,-70.875,-3.125
1541872981560249,10.3125,-75.3125,-4.0625
1541872981586257,17.8125,-76.875,-1.625
1541872981591275,20.5625,-74.875,1.25
1541872981613293,18.625,-69.5,2.875
1541872981636348,19.375,-60.5625,3.4375
1541872981642317,18.75,-50.8125,2.9375
1541872981667331,16.0625,-46.0625,3
1541872981687354,9.8125,-43.4375,5.375
1541872981702347,7.0625,-42.9375,8.75
1541872981724384,8.875,-42.1875,11.5
1541872981739396,9.75,-39.5,12.0625
1541872981780411,7.0625,-35,10.5625
1541872981787418,6.3125,-30.625,7.25
1541872981799429,7.8125,-26.9375,3.0625
1541872981822465,8.875,-23.6875,-0.3125
1541872981840461,8.375,-22,-2.375
1541872981859531,6.625,-21.5625,-3.875
